Stationsnamn,MD-MVMId,EUid,StationskoordinatN/X,StationskoordinatE/Y,ProvplatskoordinatN/X,ProvplatskoordinatE/Y,Koordinatsystem,Provtagningsmedium,Program,Delprogram,Projekt,Län,Kommun,MSCDC2,MSCDC3,ProvId,Provdatum,Provtagningsår,Provtagningsmånad,Provtagningsdag,Minprovdjup(m),Maxprovdjup(m),Undersökningstyp,Provkommentar,Alk/Acid(mekv/l),CODMn(mg/l),Färgtal(mgPt/l),pH,S(mg/l),Syrgashalt(mg/l),Vattentemperatur(°C)
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572487,04/01/1941,1941,1,4,0.5,1.1,,,,7.6,17,7.7,,,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572490,06/02/1941,1941,2,6,0.5,1.1,,,1.262,6,22,7.8,,,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572491,07/03/1941,1941,3,7,0.5,1.1,,,0.289,3.5,,7.7,,,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572492,05/04/1941,1941,4,5,0.5,1.1,,,1.154,11.9,,7.6,,,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572493,08/05/1941,1941,5,8,0.5,1.1,,,1.01,12.6,,7.4,,,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572494,13/06/1941,1941,6,13,0.5,1.1,,,1.031,16.4,,8,,,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572495,18/07/1941,1941,7,18,0.5,1.1,,,0.866,20.5,,7.8,,,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572496,23/08/1941,1941,8,23,0.5,1.1,,,0.83,26.5,,8.1,,,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572497,25/09/1941,1941,9,25,0.5,1.1,,,0.743,,,7.9,,,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572488,16/10/1941,1941,10,16,0.5,1.1,,,0.866,17.7,,7.7,,,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572489,18/11/1941,1941,11,18,0.5,1.1,,,1.01,19,,7.9,,,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572498,22/01/1943,1943,1,22,0.5,1.1,,,,,,7.3,,,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572500,04/02/1943,1943,2,4,0.5,1.1,,,0.721,6.6,35,7.5,,,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572499,26/02/1943,1943,2,26,0.5,1.1,,,,,,7.2,,,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572501,16/03/1943,1943,3,16,0.5,1.1,,,,,,7.3,,,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572502,17/04/1943,1943,4,17,0.5,1.1,,,,,,7.3,,,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572503,08/05/1943,1943,5,8,0.5,1.1,,,,,,7.3,,,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572504,19/06/1943,1943,6,19,0.5,1.1,,,,,,8.9,,,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572505,18/07/1943,1943,7,18,0.5,1.1,,,,,,9.2,,,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572506,22/01/1945,1945,1,22,0.5,1.1,,,1.5,22.7,27,7.3,173.6,12.6,1.5
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572510,26/02/1945,1945,2,26,0.5,1.1,,,1.4,13,25,7.2,197,12.6,1
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572511,16/03/1945,1945,3,16,0.5,1.1,,,1.439,19.6,20,7.3,168,12.5,3
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572512,17/04/1945,1945,4,17,0.5,1.1,,,1.251,18.3,38,7.3,162.4,9.8,8.2
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572513,18/05/1945,1945,5,18,0.5,1.1,,,1.351,33.5,25,7.3,161.6,9,17.5
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572514,19/06/1945,1945,6,19,0.5,1.1,,,1.4,31.6,30,8.9,160.8,9.4,13.5
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572515,18/07/1945,1945,7,18,0.5,1.1,,,1.621,38.2,30,9.2,163.2,9.1,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572516,21/08/1945,1945,8,21,0.5,1.1,,,1.5,29.7,25,7.8,156,8.8,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572517,20/09/1945,1945,9,20,0.5,1.1,,,1.5,32.2,30,7.8,146.4,9.1,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572507,17/10/1945,1945,10,17,0.5,1.1,,,1.48,26.5,20,7.9,150.4,9.3,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572508,19/11/1945,1945,11,19,0.5,1.1,,,1.7,22.4,25,7.5,155.2,9.6,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572509,20/12/1945,1945,12,20,0.5,1.1,,,1.42,26.9,30,7.5,164.8,9.7,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572518,21/01/1946,1946,1,21,0.5,1.1,,,1.48,29.7,35,7.9,162.4,11.3,0.5
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572519,19/02/1946,1946,2,19,0.5,1.1,,,1.22,28.1,30,7.5,160.8,11.6,
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572520,28/03/1946,1946,3,28,0.5,1.1,,,1.151,25.9,38,7.7,149.6,11.3,3
VästraRingsjön,3356,SE619810-135450,6194852,404913,6194852,404913,SWEREF99TM,Sjö,Sötvatten,SRK,Ringsjöarna,Skånelän,Eslöv,WA55412723,WA55412723,572521,15/04/1946,1946,4,15,0.5,1.1,,,1.2,26.5,35,7.9,156,10.9,7
